constituent,speed_deg_h,amp_cm,amp_se_cm,phase_deg,phase_se_deg
K1,15.0411,65.2382,0.2186,160.6147,0.1597
M2,28.9841,56.3047,0.433,280.9328,0.4176
O1,13.943,41.618,0.2202,262.1745,0.3022
S2,30.0,27.1633,0.2234,221.0222,0.4487
P1,14.9589,18.1443,0.2212,183.5972,0.6239
K2,30.0821,10.8077,0.1767,352.2356,0.9494
N2,28.4397,8.8268,0.2685,62.822,1.9237
Q1,13.3987,7.4568,0.1381,50.0754,1.0039
NO1,14.4967,3.6505,0.2144,333.09,3.4135
L2,29.5285,3.0889,0.2317,306.7957,4.2034
S1,15.0,3.058,0.2072,263.8474,3.9436
OO1,16.1391,2.9316,0.223,232.6527,4.1211
J1,15.5854,2.9193,0.1497,58.4396,3.5618
M4,57.9682,2.9127,0.0585,98.6576,1.1913
MS4,58.9841,2.7947,0.0535,36.2895,1.1155
MK3,44.0252,2.7672,0.1253,12.5533,2.6586
MO3,42.9271,2.2908,0.0847,151.8738,2.1147
MU2,27.9682,2.22,0.2811,103.0675,7.7502
LAM2,29.4556,2.1724,0.2819,145.7999,7.185
2SM2,31.0159,1.7432,0.1753,318.965,5.2772
SK3,45.0411,1.6607,0.0719,328.7251,2.5384
NU2,28.5126,1.66,0.2767,203.844,9.7556
T2,29.9589,1.5637,0.219,154.6518,7.9271
RHO1,13.4715,1.4539,0.1308,201.9515,4.9975
2N2,27.8954,1.2798,0.2817,195.3105,12.9709
MN4,57.4238,1.0428,0.0537,246.7062,3.053
2MS6,87.9682,0.9267,0.0505,187.2736,2.897
2Q1,12.8543,0.7973,0.1292,196.795,9.7178
M6,86.9523,0.7972,0.0516,264.9095,3.423
S4,60.0,0.6525,0.0427,354.6122,4.0717
MK4,59.0662,0.3092,0.0521,190.5575,9.8265
M3,43.4762,0.1084,0.0905,113.2827,58.232
M8,115.9364,0.1011,0.0216,346.4642,12.9624
