period,n,ratio,rel_phase
whole record,58485,0.0517,103.2081
2020,8063,0.0507,104.1736
2021,6509,0.051,104.5167
2022,8563,0.052,100.506
2023,8659,0.0535,103.223
2024,8746,0.0548,103.7821
2025,8691,0.0503,102.006
2020 wet,3640,0.0564,101.5942
2020 dry,2406,0.0483,108.8169
2021 dry,2693,0.0484,104.9784
2022 wet,3602,0.0536,93.4072
2022 dry,2892,0.052,107.6659
2023 wet,3670,0.0528,99.7132
2023 dry,2853,0.0532,104.962
2024 wet,3665,0.0568,96.4129
2024 dry,2924,0.0518,109.0811
2025 wet,3665,0.0554,106.0712
2025 dry,2879,0.0452,99.5745
wet pooled,24138,0.0538,100.7801
dry pooled,19547,0.0496,106.5438
