case,group,label,model,kernel,n_train,n_test,RMSE_cm,MAE_cm,bias_cm,cover95
0,A,10% block centred 35%,GPM12,Matern 1/2,2229,183,10.531099443931355,8.28510370325528,-1.5596302791993886,92.34972677595628
0,A,10% block centred 35%,GP,Matern 3/2,2229,183,10.604103763922508,8.341084548462149,-1.663484037050748,92.34972677595628
0,A,10% block centred 35%,GPM52,Matern 5/2,2229,183,10.64118316049941,8.367578559091466,-1.7043446754252782,91.80327868852459
0,A,10% block centred 35%,GPRQ,rational quadratic,2229,183,10.359471357634654,8.17541999222443,-1.2264847088440478,93.44262295081968
0,A,10% block centred 35%,GP2M32,two-scale M3/2,2229,183,10.423906358399474,8.234500183724982,-1.3582209881323124,92.89617486338798
0,A,10% block centred 35%,GP2M32SA,GP-2M-SA,2229,183,10.461976461262687,8.104447910269712,-1.5622963565395065,92.34972677595628
0,A,10% block centred 35%,GPQP,M3/2 + quasi-periodic,2229,183,10.202539725229151,7.843557539171137,-1.7127352472306372,92.89617486338798
1,A,10% block centred 65%,GPM12,Matern 1/2,2155,257,8.96357486059691,7.062128805975863,1.8151242053937582,96.49805447470817
1,A,10% block centred 65%,GP,Matern 3/2,2155,257,8.983015289258976,7.089014446881628,1.8609054933637392,96.49805447470817
1,A,10% block centred 65%,GPM52,Matern 5/2,2155,257,8.990226930974572,7.096352018377333,1.8745322119716943,96.49805447470817
1,A,10% block centred 65%,GPRQ,rational quadratic,2155,257,8.78448264145625,6.839590967577392,1.092758647085496,96.49805447470817
1,A,10% block centred 65%,GP2M32,two-scale M3/2,2155,257,8.893433377498653,6.964133006973761,1.6210999516010898,96.49805447470817
1,A,10% block centred 65%,GP2M32SA,GP-2M-SA,2155,257,8.77093023360315,6.949497592974746,2.253463132750475,96.49805447470817
1,A,10% block centred 65%,GPQP,M3/2 + quasi-periodic,2155,257,8.849121570307362,7.067200772677759,2.174789955472655,96.10894941634241
2,A,20% block centred 35%,GPM12,Matern 1/2,1986,426,10.299995659413002,8.098854862324224,-0.10349328133298918,93.1924882629108
2,A,20% block centred 35%,GP,Matern 3/2,1986,426,10.306996455489971,8.110565570488937,-0.1146559470627548,92.95774647887323
2,A,20% block centred 35%,GPM52,Matern 5/2,1986,426,10.309450142542087,8.113870751527351,-0.1191413461232292,92.72300469483568
2,A,20% block centred 35%,GPRQ,rational quadratic,1986,426,10.273163270685124,8.098336122106216,0.08732439095841998,93.42723004694837
2,A,20% block centred 35%,GP2M32,two-scale M3/2,1986,426,10.292233013278635,8.08259205835251,-0.09962481217046858,93.42723004694837
2,A,20% block centred 35%,GP2M32SA,GP-2M-SA,1986,426,10.214375953288256,8.05324321264452,0.48257004328051845,92.72300469483568
2,A,20% block centred 35%,GPQP,M3/2 + quasi-periodic,1986,426,10.051406905817533,7.902387153929369,0.40273798529202476,92.95774647887323
3,A,20% block centred 65%,GPM12,Matern 1/2,1897,515,9.015582014253205,7.044836407514911,2.300146485687899,96.31067961165049
3,A,20% block centred 65%,GP,Matern 3/2,1897,515,9.019869173782785,7.039506536000253,2.3314009931451856,96.11650485436894
3,A,20% block centred 65%,GPM52,Matern 5/2,1897,515,9.020664059277735,7.0370219579688715,2.3403469486013737,96.11650485436894
3,A,20% block centred 65%,GPRQ,rational quadratic,1897,515,8.924452596349186,7.011610828188089,1.7927915845305717,96.50485436893203
3,A,20% block centred 65%,GP2M32,two-scale M3/2,1897,515,8.949459360595112,7.018866520829099,2.0375388103659806,96.50485436893203
3,A,20% block centred 65%,GP2M32SA,GP-2M-SA,1897,515,8.646633942739088,6.9364132190528505,1.770876249430884,97.0873786407767
3,A,20% block centred 65%,GPQP,M3/2 + quasi-periodic,1897,515,8.71113276728084,6.862850014208989,2.123657008447136,96.11650485436894
4,A,30% block centred 35%,GPM12,Matern 1/2,1782,630,10.597591284060819,8.443825276568512,-1.2268210589144641,92.38095238095238
4,A,30% block centred 35%,GP,Matern 3/2,1782,630,10.60028685166134,8.447445416545122,-1.2142476564194133,91.9047619047619
4,A,30% block centred 35%,GPM52,Matern 5/2,1782,630,10.600606869533001,8.448376686407002,-1.2100874798710954,91.9047619047619
4,A,30% block centred 35%,GPRQ,rational quadratic,1782,630,10.663606990137648,8.50539593553223,-1.4084154639595392,92.22222222222223
4,A,30% block centred 35%,GP2M32,two-scale M3/2,1782,630,10.591699270956816,8.440315482988817,-1.2469284163195922,92.53968253968254
4,A,30% block centred 35%,GP2M32SA,GP-2M-SA,1782,630,10.324827259577429,8.17326831725165,-0.6680074690327953,92.53968253968254
4,A,30% block centred 35%,GPQP,M3/2 + quasi-periodic,1782,630,10.585600362825366,8.432087233062001,-1.2547689522314822,92.22222222222223
5,A,30% block centred 65%,GPM12,Matern 1/2,1637,775,10.079137070350464,7.8626423941831645,3.007383645925111,93.41935483870968
5,A,30% block centred 65%,GP,Matern 3/2,1637,775,10.088744748725386,7.870378471023373,3.0338585427830744,93.16129032258064
5,A,30% block centred 65%,GPM52,Matern 5/2,1637,775,10.09060043107491,7.871639702869649,3.0389519223077572,93.03225806451613
5,A,30% block centred 65%,GPRQ,rational quadratic,1637,775,10.012879328444217,7.815272794035486,2.8168842791343214,93.6774193548387
5,A,30% block centred 65%,GP2M32,two-scale M3/2,1637,775,10.030545859545324,7.8277888003386575,2.779263345631535,93.54838709677419
5,A,30% block centred 65%,GP2M32SA,GP-2M-SA,1637,775,9.73975213614599,7.7117476035696315,2.574482071910832,93.80645161290323
5,A,30% block centred 65%,GPQP,M3/2 + quasi-periodic,1637,775,9.667570046903089,7.588281224794888,2.7384133970953224,93.80645161290323
6,A,40% block centred 35%,GPM12,Matern 1/2,1523,889,10.398324981654673,8.198296209277107,0.39815953411631644,92.2384701912261
6,A,40% block centred 35%,GP,Matern 3/2,1523,889,10.401323243287164,8.204928565776148,0.41197807082860827,92.1259842519685
6,A,40% block centred 35%,GPM52,Matern 5/2,1523,889,10.402443536185144,8.207036830162759,0.416699816486512,92.1259842519685
6,A,40% block centred 35%,GPRQ,rational quadratic,1523,889,10.393519102684861,8.178407584229237,0.23869051195705912,92.35095613048368
6,A,40% block centred 35%,GP2M32,two-scale M3/2,1523,889,10.390148947855355,8.177135981806781,0.36241251777747596,92.2384701912261
6,A,40% block centred 35%,GP2M32SA,GP-2M-SA,1523,889,10.145415755111744,7.9351780662276425,0.4911946709169861,92.46344206974129
6,A,40% block centred 35%,GPQP,M3/2 + quasi-periodic,1523,889,10.395697043382752,8.18876433043349,0.3760398112988891,92.2384701912261
7,A,40% block centred 65%,GPM12,Matern 1/2,1384,1028,10.006992925373371,7.850784715042715,2.0303487247581042,94.26070038910505
